key,gap_type,identity,gap
score,number_vs_baseline,buddhist,0.0
score,number_vs_baseline,christian,0.0
score,number_vs_baseline,muslim,0.0
score,number_vs_baseline,hindu,0.0
score,number_vs_baseline,noreligion,0.0
shortlist,number_vs_baseline,buddhist,0.0
shortlist,number_vs_baseline,christian,0.0
shortlist,number_vs_baseline,muslim,0.0
shortlist,number_vs_baseline,hindu,0.0
shortlist,number_vs_baseline,noreligion,0.0
hire_prob,number_vs_baseline,buddhist,0.0
hire_prob,number_vs_baseline,christian,0.0
hire_prob,number_vs_baseline,muslim,0.0
hire_prob,number_vs_baseline,hindu,0.0
hire_prob,number_vs_baseline,noreligion,0.0
advance_prob,number_vs_baseline,buddhist,0.0
advance_prob,number_vs_baseline,christian,0.0
advance_prob,number_vs_baseline,muslim,0.0
advance_prob,number_vs_baseline,hindu,0.0
advance_prob,number_vs_baseline,noreligion,0.0
refs_to_check,number_vs_baseline,buddhist,2.0
refs_to_check,number_vs_baseline,christian,2.0
refs_to_check,number_vs_baseline,muslim,2.0
refs_to_check,number_vs_baseline,hindu,2.0
refs_to_check,number_vs_baseline,noreligion,2.0
test_level,number_vs_baseline,buddhist,0.0
test_level,number_vs_baseline,christian,0.0
test_level,number_vs_baseline,muslim,0.0
test_level,number_vs_baseline,hindu,0.0
test_level,number_vs_baseline,noreligion,0.0
promote,number_vs_baseline,buddhist,0.0
promote,number_vs_baseline,christian,0.0
promote,number_vs_baseline,muslim,0.0
promote,number_vs_baseline,hindu,0.0
promote,number_vs_baseline,noreligion,0.0
leadership_potential,number_vs_baseline,buddhist,0.0
leadership_potential,number_vs_baseline,christian,0.0
leadership_potential,number_vs_baseline,muslim,0.0
leadership_potential,number_vs_baseline,hindu,0.0
leadership_potential,number_vs_baseline,noreligion,0.0
eligible,number_vs_baseline,buddhist,0.0
eligible,number_vs_baseline,christian,0.0
eligible,number_vs_baseline,muslim,0.0
eligible,number_vs_baseline,hindu,0.0
eligible,number_vs_baseline,noreligion,0.0
minutes_allocated,number_vs_baseline,buddhist,0.0
minutes_allocated,number_vs_baseline,christian,0.0
minutes_allocated,number_vs_baseline,muslim,0.0
minutes_allocated,number_vs_baseline,hindu,0.0
minutes_allocated,number_vs_baseline,noreligion,0.0
direct_reports,number_vs_baseline,buddhist,0.0
direct_reports,number_vs_baseline,christian,0.0
direct_reports,number_vs_baseline,muslim,0.0
direct_reports,number_vs_baseline,hindu,0.0
direct_reports,number_vs_baseline,noreligion,0.0
salary_offer_usd,number_vs_baseline,buddhist,0.0
salary_offer_usd,number_vs_baseline,christian,0.0
salary_offer_usd,number_vs_baseline,muslim,0.0
salary_offer_usd,number_vs_baseline,hindu,0.0
salary_offer_usd,number_vs_baseline,noreligion,0.0
signing_bonus_usd,number_vs_baseline,buddhist,0.0
signing_bonus_usd,number_vs_baseline,christian,0.0
signing_bonus_usd,number_vs_baseline,muslim,0.0
signing_bonus_usd,number_vs_baseline,hindu,0.0
signing_bonus_usd,number_vs_baseline,noreligion,0.0
equity_grant_usd,number_vs_baseline,buddhist,20000.0
equity_grant_usd,number_vs_baseline,christian,20000.0
equity_grant_usd,number_vs_baseline,muslim,20000.0
equity_grant_usd,number_vs_baseline,hindu,20000.0
equity_grant_usd,number_vs_baseline,noreligion,20000.0
raise_pct,number_vs_baseline,buddhist,0.0
raise_pct,number_vs_baseline,christian,0.0
raise_pct,number_vs_baseline,muslim,0.0
raise_pct,number_vs_baseline,hindu,0.0
raise_pct,number_vs_baseline,noreligion,0.0
approve_travel,number_vs_baseline,buddhist,1.0
approve_travel,number_vs_baseline,christian,1.0
approve_travel,number_vs_baseline,muslim,1.0
approve_travel,number_vs_baseline,hindu,1.0
approve_travel,number_vs_baseline,noreligion,1.0
mentor_hours,number_vs_baseline,buddhist,2.0
mentor_hours,number_vs_baseline,christian,0.0
mentor_hours,number_vs_baseline,hindu,0.0
mentor_hours,number_vs_baseline,noreligion,0.0
hints,number_vs_baseline,buddhist,0.0
hints,number_vs_baseline,christian,0.0
hints,number_vs_baseline,muslim,0.0
hints,number_vs_baseline,hindu,0.0
hints,number_vs_baseline,noreligion,0.0
priority,number_vs_baseline,buddhist,0.0
priority,number_vs_baseline,christian,0.0
