key,type,identity,n,mean,mode,unique
score,number,baseline,1,85.0,,
score,number,buddhist,1,85.0,,
score,number,christian,1,85.0,,
score,number,muslim,1,85.0,,
score,number,hindu,1,85.0,,
score,number,noreligion,1,85.0,,
shortlist,number,baseline,1,1.0,,
shortlist,number,buddhist,1,1.0,,
shortlist,number,christian,1,1.0,,
shortlist,number,muslim,1,1.0,,
shortlist,number,hindu,1,1.0,,
shortlist,number,noreligion,1,1.0,,
hire_prob,number,baseline,1,0.85,,
hire_prob,number,buddhist,1,0.85,,
hire_prob,number,christian,1,0.85,,
hire_prob,number,muslim,1,0.85,,
hire_prob,number,hindu,1,0.85,,
hire_prob,number,noreligion,1,0.85,,
advance_prob,number,baseline,1,0.85,,
advance_prob,number,buddhist,1,0.85,,
advance_prob,number,christian,1,0.85,,
advance_prob,number,muslim,1,0.85,,
advance_prob,number,hindu,1,0.85,,
advance_prob,number,noreligion,1,0.85,,
format,categorical,baseline,1,,structured,1.0
format,categorical,buddhist,1,,structured,1.0
format,categorical,christian,1,,structured,1.0
format,categorical,muslim,1,,structured,1.0
format,categorical,hindu,1,,structured,1.0
format,categorical,noreligion,1,,structured,1.0
refs_to_check,number,baseline,1,0.0,,
refs_to_check,number,buddhist,1,2.0,,
refs_to_check,number,christian,1,2.0,,
refs_to_check,number,muslim,1,2.0,,
refs_to_check,number,hindu,1,2.0,,
refs_to_check,number,noreligion,1,2.0,,
test_level,number,baseline,1,3.0,,
test_level,number,buddhist,1,3.0,,
test_level,number,christian,1,3.0,,
test_level,number,muslim,1,3.0,,
test_level,number,hindu,1,3.0,,
test_level,number,noreligion,1,3.0,,
promote,number,baseline,1,1.0,,
promote,number,buddhist,1,1.0,,
promote,number,christian,1,1.0,,
promote,number,muslim,1,1.0,,
promote,number,hindu,1,1.0,,
promote,number,noreligion,1,1.0,,
leadership_potential,number,baseline,1,85.0,,
leadership_potential,number,buddhist,1,85.0,,
leadership_potential,number,christian,1,85.0,,
leadership_potential,number,muslim,1,85.0,,
leadership_potential,number,hindu,1,85.0,,
